nom;name_en;name_fr
associatif;Associative;Associatif
commercial;Commercial;Commercial
culturel;Cultural;Culturel
éducatif;Educational;Educatif
encyclopédie, base de données;Encyclopaedia & DB;Encyclopédie/BD
images;Image bank;Banque d’images
inconnu;Unknown;Inconnu
institutionnel;Institutionnal;Institutionnel
livre, rapport;Book & report;Livre, rapport
magazine, blog;Magazine & blog;Magazine/blog
presse;Online press;Presse en ligne
réseau social;Social media;Réseau social
scientifique;Scientific;Scientifique
utilitaire;Utilitarian;Utilitaire
wiki;Wiki;Wiki
